position	chr	start	end	length	nick_coordinates
chr1:72830446-72836616	chr1	72830446	72836616	6170	72834052
chr1:72900782-72905092	chr1	72900782	72905092	4310	72902506
chr1:73102204-73104789	chr1	73102204	73104789	2585	73103769
chr1:73431081-73431475	chr1	73431081	73431475	394	73431207
chr1:73619298-73621164	chr1	73619298	73621164	1866	73620858
chr1:74097120-74102071	chr1	74097120	74102071	4951	74099480
chr1:74130755-74133873	chr1	74130755	74133873	3118	74131299
chr1:74442729-74445205	chr1	74442729	74445205	2476	74443583
chr1:74554017-74558575	chr1	74554017	74558575	4558	74555993
chr1:74877120-74883155	chr1	74877120	74883155	6035	74880563
chr1:74986518-74992624	chr1	74986518	74992624	6106	74990045
chr1:75383477-75388208	chr1	75383477	75388208	4731	75385632
chr1:75402384-75408862	chr1	75402384	75408862	6478	75406286
chr1:75476261-75482430	chr1	75476261	75482430	6169	75479825
chr1:75666262-75667599	chr1	75666262	75667599	1337	75666513
chr1:75677750-75683758	chr1	75677750	75683758	6008	75681186
chr1:75697639-75703674	chr1	75697639	75703674	6035	75701081
chr1:75777591-75782997	chr1	75777591	75782997	5406	75781159
chr1:75828831-75834934	chr1	75828831	75834934	6103	75832359
chr1:76536663-76540492	chr1	76536663	76540492	3829	76537943
chr1:76738636-76739653	chr1	76738636	76739653	1017	76739651
chr1:77109002-77111770	chr1	77109002	77111770	2768	77109183
chr1:77745607-77746897	chr1	77745607	77746897	1290	77746452
chr1:78161479-78164098	chr1	78161479	78164098	2619	78161526
chr1:78344182-78345304	chr1	78344182	78345304	1122	78344561
chr1:78483572-78489062	chr1	78483572	78489062	5490	78487401
chr1:79414188-79420301	chr1	79414188	79420301	6113	79417711
chr1:79999288-80002427	chr1	79999288	80002427	3139	79999841
chr1:80333819-80335677	chr1	80333819	80335677	1858	80335566
chr1:80406795-80410258	chr1	80406795	80410258	3463	80407661
chr1:80732822-80736238	chr1	80732822	80736238	3416	80733651
chr1:80785627-80789665	chr1	80785627	80789665	4038	80787082
chr1:80946147-80951553	chr1	80946147	80951553	5406	80948962
chr1:82250044-82256069	chr1	82250044	82256069	6025	82253482
chr1:83167420-83173581	chr1	83167420	83173581	6161	83170994
chr1:83182174-83188201	chr1	83182174	83188201	6027	83185612
chr1:83263607-83269631	chr1	83263607	83269631	6024	83267040
chr1:83341258-83341957	chr1	83341258	83341957	699	83341597
chr1:84591914-84592667	chr1	84591914	84592667	753	84592442
chr1:85508351-85514542	chr1	85508351	85514542	6191	85511923
chr1:85641866-85648024	chr1	85641866	85648024	6158	85645423
chr1:85748519-85754548	chr1	85748519	85754548	6029	85751958
chr1:85869317-85873838	chr1	85869317	85873838	4521	85871271
chr1:85921432-85926818	chr1	85921432	85926818	5386	85924244
chr1:85927067-85933100	chr1	85927067	85933100	6033	85930508
chr1:86242534-86245288	chr1	86242534	86245288	2754	86242703
chr1:86330246-86334976	chr1	86330246	86334976	4730	86332387
chr1:86657442-86663611	chr1	86657442	86663611	6169	86661023
chr1:86817814-86820482	chr1	86817814	86820482	2668	86817893
chr1:88341842-88347867	chr1	88341842	88347867	6025	88345279
chr1:88584950-88588781	chr1	88584950	88588781	3831	88586233
chr1:88816885-88817333	chr1	88816885	88817333	448	88816973
chr1:89071603-89077988	chr1	89071603	89077988	6385	89075411
chr1:89154817-89160368	chr1	89154817	89160368	5551	89157782
chr1:89244954-89248158	chr1	89244954	89248158	3204	89246723
chr1:89328275-89331595	chr1	89328275	89331595	3320	89329008
chr1:89353251-89353965	chr1	89353251	89353965	714	89353622
chr1:89371198-89373819	chr1	89371198	89373819	2621	89371234
chr1:89490988-89497136	chr1	89490988	89497136	6148	89494541
chr1:90166845-90172987	chr1	90166845	90172987	6142	90170402
chr1:90247584-90252823	chr1	90247584	90252823	5239	90250562
chr1:90553372-90557318	chr1	90553372	90557318	3946	90554674
chr1:90598133-90601997	chr1	90598133	90601997	3864	90599425
chr1:90997570-91003696	chr1	90997570	91003696	6126	91001109
chr1:91211587-91216947	chr1	91211587	91216947	5360	91214355
chr1:91289893-91294212	chr1	91289893	91294212	4319	91291626
chr1:91296806-91302949	chr1	91296806	91302949	6143	91300358
chr1:91366637-91372747	chr1	91366637	91372747	6110	91370164
chr1:92253216-92258906	chr1	92253216	92258906	5690	92256327
chr1:92279485-92285624	chr1	92279485	92285624	6139	92283051
chr1:92530204-92535921	chr1	92530204	92535921	5717	92533361
chr1:92546712-92550501	chr1	92546712	92550501	3789	92547921
chr1:92592264-92595578	chr1	92592264	92595578	3314	92592994
chr1:92715488-92721678	chr1	92715488	92721678	6190	92719119
chr1:92891523-92897666	chr1	92891523	92897666	6143	92895078
chr1:93265657-93269422	chr1	93265657	93269422	3765	93266868
chr1:93511988-93515927	chr1	93511988	93515927	3939	93513343
chr1:93855732-93861872	chr1	93855732	93861872	6140	93859293
chr1:94134119-94140257	chr1	94134119	94140257	6138	94137676
chr1:94759818-94764614	chr1	94759818	94764614	4796	94762044
chr1:96604386-96610400	chr1	96604386	96610400	6014	96607806
chr1:96651258-96657410	chr1	96651258	96657410	6152	96654841
chr1:97287875-97291846	chr1	97287875	97291846	3971	97289261
chr1:97317944-97322243	chr1	97317944	97322243	4299	97319656
chr1:97357837-97363959	chr1	97357837	97363959	6122	97361378
chr1:98301863-98302392	chr1	98301863	98302392	529	98302073
chr1:99043156-99044702	chr1	99043156	99044702	1546	99043224
chr1:100199602-100206088	chr1	100199602	100206088	6486	100203524
chr1:100819961-100826211	chr1	100819961	100826211	6250	100823523
chr1:102356479-102358956	chr1	102356479	102358956	2477	102357217
chr1:102385624-102386688	chr1	102385624	102386688	1064	102386064
chr1:102442083-102448229	chr1	102442083	102448229	6146	102445638
chr1:103377216-103383340	chr1	103377216	103383340	6124	103380766
chr1:103483369-103487470	chr1	103483369	103487470	4101	103484886
chr1:103511161-103512990	chr1	103511161	103512990	1829	103512306
chr1:103922065-103925398	chr1	103922065	103925398	3333	103924916
chr1:104372112-104376684	chr1	104372112	104376684	4572	104374103
chr1:104587914-104591072	chr1	104587914	104591072	3158	104588545
chr1:104820216-104821822	chr1	104820216	104821822	1606	104821321
chr1:105574943-105579442	chr1	105574943	105579442	4499	105576845
chr1:106163919-106169407	chr1	106163919	106169407	5488	106166706
chr1:106329424-106335537	chr1	106329424	106335537	6113	106332952
chr1:106552725-106553570	chr1	106552725	106553570	845	106553375
chr1:106852954-106859362	chr1	106852954	106859362	6408	106856789
chr1:107844024-107848032	chr1	107844024	107848032	4008	107847844
chr1:108287721-108289537	chr1	108287721	108289537	1816	108288205
chr1:108490892-108495190	chr1	108490892	108495190	4298	108492601
chr1:108542343-108548024	chr1	108542343	108548024	5681	108545434
chr1:111010842-111013395	chr1	111010842	111013395	2553	111011564
chr1:111025717-111027521	chr1	111025717	111027521	1804	111026863
chr1:111092064-111095988	chr1	111092064	111095988	3924	111093403
chr1:111335211-111341371	chr1	111335211	111341371	6160	111338778
chr1:111681258-111686272	chr1	111681258	111686272	5014	111683735
chr1:112221418-112227438	chr1	112221418	112227438	6020	112224847
chr1:112288052-112292483	chr1	112288052	112292483	4431	112291546
chr1:113497220-113503257	chr1	113497220	113503257	6037	113500639
chr1:113560403-113562123	chr1	113560403	113562123	1720	113561190
chr1:113598330-113602232	chr1	113598330	113602232	3902	113599645
chr1:114303991-114309368	chr1	114303991	114309368	5377	114307527
chr1:115147821-115153959	chr1	115147821	115153959	6138	115151251
chr1:116051913-116058065	chr1	116051913	116058065	6152	116055479
chr1:116135021-116135555	chr1	116135021	116135555	534	116135552
chr1:116213734-116216393	chr1	116213734	116216393	2659	116213810
chr1:117217595-117223765	chr1	117217595	117223765	6170	117221175
chr1:117316909-117317469	chr1	117316909	117317469	560	117316984
chr1:117477045-117478110	chr1	117477045	117478110	1065	117477206
chr1:117722787-117726833	chr1	117722787	117726833	4046	117724241
chr1:118280887-118286905	chr1	118280887	118286905	6018	118284326
chr1:118349384-118354904	chr1	118349384	118354904	5520	118352318
chr1:118522016-118522638	chr1	118522016	118522638	622	118522526
chr1:118575347-118578116	chr1	118575347	118578116	2769	118575525
chr1:118637753-118643915	chr1	118637753	118643915	6162	118641313
chr1:118694626-118697732	chr1	118694626	118697732	3106	118695147
chr1:118831438-118837580	chr1	118831438	118837580	6142	118834996
chr1:118852351-118858380	chr1	118852351	118858380	6029	118855790
chr1:119020631-119026648	chr1	119020631	119026648	6017	119024057
chr1:119497647-119503803	chr1	119497647	119503803	6156	119501225
chr1:119521857-119525813	chr1	119521857	119525813	3956	119523225
chr1:120480723-120486850	chr1	120480723	120486850	6127	120484275
chr1:120673290-120679429	chr1	120673290	120679429	6139	120676836
chr1:121401447-121407469	chr1	121401447	121407469	6022	121404886
chr1:121477124-121483277	chr1	121477124	121483277	6153	121480677
chr1:121574289-121580421	chr1	121574289	121580421	6132	121577836
chr1:125007731-125013058	chr1	125007731	125013058	5327	125011148
chr1:125015251-125021207	chr1	125015251	125021207	5956	125018615
chr1:125122961-125129081	chr1	125122961	125129081	6120	125126496
chr1:144965215-144970658	chr1	144965215	144970658	5443	144968066
chr1:146769793-146770576	chr1	146769793	146770576	783	146769813
chr1:146868403-146872517	chr1	146868403	146872517	4114	146869928
chr1:147008641-147012672	chr1	147008641	147012672	4031	147010095
chr1:147012699-147016632	chr1	147012699	147016632	3933	147014060
chr1:147063913-147070066	chr1	147063913	147070066	6153	147067481
chr1:147306195-147308808	chr1	147306195	147308808	2613	147306242
chr1:147308818-147310670	chr1	147308818	147310670	1852	147309999
chr1:147327825-147330711	chr1	147327825	147330711	2886	147328168
chr1:147342997-147349114	chr1	147342997	147349114	6117	147346523
chr1:147402384-147408529	chr1	147402384	147408529	6145	147405942
chr1:147423218-147429241	chr1	147423218	147429241	6023	147426654
chr1:149293675-149299816	chr1	149293675	149299816	6141	149297221
chr1:152262817-152267407	chr1	152262817	152267407	4590	152264824
chr1:152614571-152617575	chr1	152614571	152617575	3004	152615013
chr1:152689415-152691383	chr1	152689415	152691383	1968	152689781
chr1:152691596-152695731	chr1	152691596	152695731	4135	152694444
chr1:152830284-152836378	chr1	152830284	152836378	6094	152833788
chr1:152938968-152940515	chr1	152938968	152940515	1547	152939998
chr1:153406996-153413138	chr1	153406996	153413138	6142	153410554
chr1:154066636-154068403	chr1	154066636	154068403	1767	154067016
chr1:157253907-157260060	chr1	157253907	157260060	6153	157257477
chr1:157293974-157300373	chr1	157293974	157300373	6399	157297804
chr1:157901878-157907242	chr1	157901878	157907242	5364	157905405
chr1:158234186-158235312	chr1	158234186	158235312	1126	158235118
chr1:158237269-158242661	chr1	158237269	158242661	5392	158240070
chr1:158303954-158309994	chr1	158303954	158309994	6040	158307508
chr1:158336097-158342236	chr1	158336097	158342236	6139	158339644
chr1:158866577-158870814	chr1	158866577	158870814	4237	158868279
chr1:158886103-158892114	chr1	158886103	158892114	6011	158889539
chr1:158952740-158958797	chr1	158952740	158958797	6057	158956177
chr1:159323636-159328450	chr1	159323636	159328450	4814	159326380
chr1:159452953-159458976	chr1	159452953	159458976	6023	159456384
chr1:159538219-159544248	chr1	159538219	159544248	6029	159541669
chr1:159603762-159609902	chr1	159603762	159609902	6140	159607309
chr1:160511704-160518027	chr1	160511704	160518027	6323	160515431
chr1:160783080-160788385	chr1	160783080	160788385	5305	160786619
chr1:160896563-160900271	chr1	160896563	160900271	3708	160897683
chr1:161692858-161699312	chr1	161692858	161699312	6454	161696729
chr1:162451678-162455318	chr1	162451678	162455318	3640	162452730
chr1:163077782-163080993	chr1	163077782	163080993	3211	163078406
chr1:163255349-163256407	chr1	163255349	163256407	1058	163255535
chr1:163760343-163764470	chr1	163760343	163764470	4127	163761874
chr1:163953935-163954026	chr1	163953935	163954026	91	163953984
chr1:164118145-164121631	chr1	164118145	164121631	3486	164120196
chr1:164166560-164172086	chr1	164166560	164172086	5526	164169513
chr1:164216021-164222185	chr1	164216021	164222185	6164	164219596
chr1:164459203-164465253	chr1	164459203	164465253	6050	164462661
chr1:165084965-165091110	chr1	165084965	165091110	6145	165088525
chr1:165801828-165804063	chr1	165801828	165804063	2235	165802148
chr1:165967579-165970216	chr1	165967579	165970216	2637	165967640
chr1:166226463-166227549	chr1	166226463	166227549	1086	166226749
chr1:166267053-166270459	chr1	166267053	166270459	3406	166267865
chr1:168546557-168550699	chr1	168546557	168550699	4142	168548093
chr1:168746940-168747785	chr1	168746940	168747785	845	168747500
chr1:168886085-168886685	chr1	168886085	168886685	600	168886172
chr1:168927875-168929938	chr1	168927875	168929938	2063	168928140
chr1:169400697-169406797	chr1	169400697	169406797	6100	169404236
chr1:169500279-169504186	chr1	169500279	169504186	3907	169501257
chr1:169712588-169715636	chr1	169712588	169715636	3048	169713046
chr1:170048537-170054984	chr1	170048537	170054984	6447	170052416
chr1:170058902-170062171	chr1	170058902	170062171	3269	170059590
chr1:170279629-170283699	chr1	170279629	170283699	4070	170281108
chr1:170428555-170432585	chr1	170428555	170432585	4030	170430004
chr1:170463885-170470037	chr1	170463885	170470037	6152	170467442
chr1:170568879-170575370	chr1	170568879	170575370	6491	170572794
chr1:170835582-170835848	chr1	170835582	170835848	266	170835770
chr1:171373586-171379567	chr1	171373586	171379567	5981	171376992
chr1:172027618-172031572	chr1	172027618	172031572	3954	172028983
chr1:172055829-172061861	chr1	172055829	172061861	6032	172059269
chr1:172232031-172235994	chr1	172232031	172235994	3963	172233464
chr1:172301908-172308031	chr1	172301908	172308031	6123	172305456
chr1:172314246-172319643	chr1	172314246	172319643	5397	172317813
chr1:172431615-172437728	chr1	172431615	172437728	6113	172435171
chr1:173033116-173035889	chr1	173033116	173035889	2773	173033424
chr1:173153744-173159905	chr1	173153744	173159905	6161	173157318
chr1:173227437-173231885	chr1	173227437	173231885	4448	173231019
chr1:173258181-173262595	chr1	173258181	173262595	4414	173261905
chr1:173322401-173328514	chr1	173322401	173328514	6113	173325940
chr1:173696805-173701825	chr1	173696805	173701825	5020	173699246
chr1:173725764-173731872	chr1	173725764	173731872	6108	173729297
chr1:173811694-173816857	chr1	173811694	173816857	5163	173815260
chr1:174146166-174148480	chr1	174146166	174148480	2314	174146823
chr1:175290181-175293394	chr1	175290181	175293394	3213	175290863
chr1:175436506-175440540	chr1	175436506	175440540	4034	175437952
chr1:175992256-175998501	chr1	175992256	175998501	6245	175995821
chr1:177633927-177639946	chr1	177633927	177639946	6019	177637358
chr1:177692529-177698661	chr1	177692529	177698661	6132	177696079
chr1:177714289-177717574	chr1	177714289	177717574	3285	177714980
chr1:177759403-177765545	chr1	177759403	177765545	6142	177762954
chr1:177986027-177992195	chr1	177986027	177992195	6168	177989607
chr1:178837547-178843666	chr1	178837547	178843666	6119	178841074
chr1:179434202-179436866	chr1	179434202	179436866	2664	179434276
chr1:179694053-179700429	chr1	179694053	179700429	6376	179697884
chr1:180302603-180306261	chr1	180302603	180306261	3658	180303680
chr1:180333571-180339694	chr1	180333571	180339694	6123	180337078
chr1:180452476-180455529	chr1	180452476	180455529	3053	180452990
chr1:180758817-180762284	chr1	180758817	180762284	3467	180759689
chr1:181197443-181201740	chr1	181197443	181201740	4297	181199168
chr1:181275862-181281995	chr1	181275862	181281995	6133	181279403
chr1:181884334-181886068	chr1	181884334	181886068	1734	181885785
chr1:181921352-181924621	chr1	181921352	181924621	3269	181922082
chr1:181977201-181981507	chr1	181977201	181981507	4306	181978859
chr1:182221081-182225372	chr1	182221081	182225372	4291	182222788
chr1:183397301-183402079	chr1	183397301	183402079	4778	183399485
chr1:183658067-183664223	chr1	183658067	183664223	6156	183661632
chr1:184845616-184851641	chr1	184845616	184851641	6025	184849051
chr1:185001530-185007555	chr1	185001530	185007555	6025	185004967
chr1:185234803-185237699	chr1	185234803	185237699	2896	185235138
chr1:185586404-185592491	chr1	185586404	185592491	6087	185589961
chr1:185639337-185644066	chr1	185639337	185644066	4729	185641473
chr1:185707397-185713577	chr1	185707397	185713577	6180	185710992
chr1:186637331-186643356	chr1	186637331	186643356	6025	186640768
chr1:187398139-187401483	chr1	187398139	187401483	3344	187398918
chr1:187597671-187603699	chr1	187597671	187603699	6028	187601107
chr1:189210437-189211567	chr1	189210437	189211567	1130	189210956
chr1:189754801-189760951	chr1	189754801	189760951	6150	189758363
chr1:191029564-191032604	chr1	191029564	191032604	3040	191030746
chr1:192500584-192506612	chr1	192500584	192506612	6028	192504021
chr1:193871969-193877011	chr1	193871969	193877011	5042	193874444
chr1:194780869-194782337	chr1	194780869	194782337	1468	194781905
chr1:195107721-195111807	chr1	195107721	195111807	4086	195109218
chr1:196106615-196108731	chr1	196106615	196108731	2116	196107848
chr1:196515649-196520574	chr1	196515649	196520574	4925	196519870
chr1:196698163-196699105	chr1	196698163	196699105	942	196698649
chr1:197044342-197048136	chr1	197044342	197048136	3794	197045584
chr1:197291873-197295067	chr1	197291873	197295067	3194	197292483
chr1:197532240-197534154	chr1	197532240	197534154	1914	197532351
chr1:197624580-197629687	chr1	197624580	197629687	5107	197627102
chr1:197707714-197713746	chr1	197707714	197713746	6032	197711155
chr1:197829755-197835283	chr1	197829755	197835283	5528	197832695
chr1:199364767-199367605	chr1	199364767	199367605	2838	199365015
chr1:199601585-199604799	chr1	199601585	199604799	3214	199603090
chr1:199604783-199607813	chr1	199604783	199607813	3030	199605245
chr1:199647362-199653472	chr1	199647362	199653472	6110	199650890
chr1:200185367-200191509	chr1	200185367	200191509	6142	200188927
chr1:203259376-203262990	chr1	203259376	203262990	3614	203261528
chr1:203414978-203418131	chr1	203414978	203418131	3153	203415542
chr1:205901346-205905618	chr1	205901346	205905618	4272	205903055
chr1:207196003-207202062	chr1	207196003	207202062	6059	207199483
chr1:207206734-207212907	chr1	207206734	207212907	6173	207210313
chr1:207590582-207594612	chr1	207590582	207594612	4030	207592019
chr1:207730466-207736495	chr1	207730466	207736495	6029	207733902
chr1:208702694-208709029	chr1	208702694	208709029	6335	208706257
chr1:208991457-208997579	chr1	208991457	208997579	6122	208994998
chr1:210844383-210847740	chr1	210844383	210847740	3357	210845152
chr1:210885126-210890802	chr1	210885126	210890802	5676	210888978
chr1:210964444-210967331	chr1	210964444	210967331	2887	210964676
chr1:210995996-211001425	chr1	210995996	211001425	5429	210999588
chr1:211031094-211033914	chr1	211031094	211033914	2820	211031317
chr1:211078945-211081974	chr1	211078945	211081974	3029	211079391
chr1:211453401-211459510	chr1	211453401	211459510	6109	211456922
chr1:212390465-212396588	chr1	212390465	212396588	6123	212394011
chr1:212658025-212664183	chr1	212658025	212664183	6158	212661603
chr1:213213891-213220019	chr1	213213891	213220019	6128	213217446
chr1:213632373-213637025	chr1	213632373	213637025	4652	213635196
chr1:214781766-214785307	chr1	214781766	214785307	3541	214782729
chr1:215532201-215538371	chr1	215532201	215538371	6170	215535783
chr1:216339591-216343003	chr1	216339591	216343003	3412	216340415
chr1:216485645-216491614	chr1	216485645	216491614	5969	216489023
chr1:217381734-217385828	chr1	217381734	217385828	4094	217383265
chr1:217438857-217442503	chr1	217438857	217442503	3646	217439939
chr1:218820965-218822996	chr1	218820965	218822996	2031	218821967
chr1:219116344-219118515	chr1	219116344	219118515	2171	219117402
chr1:219839330-219845537	chr1	219839330	219845537	6207	219842900
chr1:219863570-219869595	chr1	219863570	219869595	6025	219867002
chr1:219887336-219892836	chr1	219887336	219892836	5500	219890259
chr1:221047132-221053554	chr1	221047132	221053554	6422	221050998
chr1:222145502-222151825	chr1	222145502	222151825	6323	222149269
chr1:222406471-222409632	chr1	222406471	222409632	3161	222407924
chr1:222959751-222961726	chr1	222959751	222961726	1975	222961042
chr1:223167652-223173641	chr1	223167652	223173641	5989	223171051
chr1:223278088-223284243	chr1	223278088	223284243	6155	223281662
chr1:223446992-223453023	chr1	223446992	223453023	6031	223450432
chr1:225168188-225174275	chr1	225168188	225174275	6087	225171694
chr1:225218027-225221659	chr1	225218027	225221659	3632	225219732
chr1:225384368-225387385	chr1	225384368	225387385	3017	225384802
chr1:226926834-226930252	chr1	226926834	226930252	3418	226927677
chr1:227473587-227477577	chr1	227473587	227477577	3990	227477466
chr1:228707410-228712807	chr1	228707410	228712807	5397	228710234
chr1:231944783-231948615	chr1	231944783	231948615	3832	231946035
chr1:237075264-237081293	chr1	237075264	237081293	6029	237078701
chr1:237603458-237607585	chr1	237603458	237607585	4127	237604996
chr1:237820213-237826650	chr1	237820213	237826650	6437	237824102
chr1:242169140-242174310	chr1	242169140	242174310	5170	242172954
chr1:242172924-242175053	chr1	242172924	242175053	2129	242172954
chr1:242481073-242487222	chr1	242481073	242487222	6149	242484633
chr1:242586642-242593092	chr1	242586642	242593092	6450	242590501
chr1:242614956-242618314	chr1	242614956	242618314	3358	242616178
chr1:243653009-243653517	chr1	243653009	243653517	508	243653420
chr1:243807047-243813190	chr1	243807047	243813190	6143	243810600
chr1:243820218-243825405	chr1	243820218	243825405	5187	243822854
chr1:244491012-244494613	chr1	244491012	244494613	3601	244492018
chr1:244521906-244525502	chr1	244521906	244525502	3596	244522909
chr1:245627324-245628191	chr1	245627324	245628191	867	245628055
chr1:245726401-245727741	chr1	245726401	245727741	1340	245727590
chr1:245816539-245822560	chr1	245816539	245822560	6021	245819969
chr1:246714715-246719911	chr1	246714715	246719911	5196	246717760
chr1:247018054-247019561	chr1	247018054	247019561	1507	247018882
chr1:247687173-247693204	chr1	247687173	247693204	6031	247690612
chr1:247727449-247728670	chr1	247727449	247728670	1221	247727997
chr1:248067512-248073636	chr1	248067512	248073636	6124	248071050
chr1:248188797-248194431	chr1	248188797	248194431	5634	248192526
chr1:248236042-248237372	chr1	248236042	248237372	1330	248236988
chr1:248252861-248258877	chr1	248252861	248258877	6016	248256289
chr1:248527957-248533197	chr1	248527957	248533197	5240	248531371
chr1:248763748-248767795	chr1	248763748	248767795	4047	248765204
chr10:35477-41492	chr10	35477	41492	6015	38900
